"","participant","slide","CHOL","confidence","asst_pred","unasst_pred","gt","name","type"
"99","P11Test1_02072019","slide3.1",0.868986383,0.131013617,1,1,0,"Pathologist NOC 1","Pathologist NOC"
"100","P11Test1_02072019","slide3.10",0.645197093,0.354802907,0,0,0,"Pathologist NOC 1","Pathologist NOC"
"101","P11Test1_02072019","slide3.2",0.961133707,0.038866293,0,0,0,"Pathologist NOC 1","Pathologist NOC"
"102","P11Test1_02072019","slide3.3",0.932582997,0.067417003,0,0,0,"Pathologist NOC 1","Pathologist NOC"
"103","P11Test1_02072019","slide3.4",0.075579882,0.924420118,1,1,1,"Pathologist NOC 1","Pathologist NOC"
"104","P11Test1_02072019","slide3.5",0.620108902,0.379891098,1,1,1,"Pathologist NOC 1","Pathologist NOC"
"105","P11Test1_02072019","slide3.6",0.723255306,0.276744694,1,1,1,"Pathologist NOC 1","Pathologist NOC"
"106","P11Test1_02072019","slide3.7",0.187884033,0.812115967,0,0,0,"Pathologist NOC 1","Pathologist NOC"
"107","P11Test1_02072019","slide3.8",0.917978466,0.082021534,0,0,0,"Pathologist NOC 1","Pathologist NOC"
"108","P11Test1_02072019","slide3.9",0.877567396,0.122432604,0,0,0,"Pathologist NOC 1","Pathologist NOC"
"109","P11Test1_02072019","slide5.1",0.054969907,0.945030093,0,0,0,"Pathologist NOC 1","Pathologist NOC"
"110","P11Test1_02072019","slide5.10",0.589578003,0.410421997,0,0,0,"Pathologist NOC 1","Pathologist NOC"
"111","P11Test1_02072019","slide5.2",0.265347481,0.734652519,0,0,0,"Pathologist NOC 1","Pathologist NOC"
"112","P11Test1_02072019","slide5.3",0.012210131,0.987789869,1,1,1,"Pathologist NOC 1","Pathologist NOC"
"113","P11Test1_02072019","slide5.4",0.166993082,0.833006918,1,1,1,"Pathologist NOC 1","Pathologist NOC"
"114","P11Test1_02072019","slide5.5",0.142681897,0.857318103,1,1,1,"Pathologist NOC 1","Pathologist NOC"
"115","P11Test1_02072019","slide5.6",0.218447208,0.781552792,1,1,1,"Pathologist NOC 1","Pathologist NOC"
"116","P11Test1_02072019","slide5.7",0.92288018,0.07711982,0,0,0,"Pathologist NOC 1","Pathologist NOC"
"117","P11Test1_02072019","slide5.8",0.331277966,0.668722034,1,1,1,"Pathologist NOC 1","Pathologist NOC"
"118","P11Test1_02072019","slide5.9",0.021397293,0.978602707,1,1,1,"Pathologist NOC 1","Pathologist NOC"
"119","P11Test1_02072019","slide7.1",0.976420103,0.023579897,0,0,0,"Pathologist NOC 1","Pathologist NOC"
"120","P11Test1_02072019","slide7.10",0.065537214,0.934462786,0,0,0,"Pathologist NOC 1","Pathologist NOC"
