participant,slide,order,grade,probCC,probHCC,diag,gt,name,type,mode,accuracy,errortype,errormodel
P8Test2_02022019,slide2.1,0,3,0.0000007149999988,0.9999992847,1,1,GI Specialist 1,1,1,1,0,0
P8Test2_02022019,slide2.1,0,3,0.0000007149999988,0.9999992847,1,1,GI Specialist 1,1,0,1,0,0
P6Test2_02262019,slide4.5,0,2,0.0000007149999988,0.9999992847,1,1,None-GI Specialist 4,2,1,1,0,0
P6Test2_02262019,slide4.5,0,2,0.0000007149999988,0.9999992847,1,1,None-GI Specialist 4,2,0,1,0,0
P3Test1_02212019,slide5.9,1,2,0.0000009540000292,0.9999990463,1,1,None-GI Specialist 3,4,1,1,0,0
P3Test1_02212019,slide5.9,1,2,0.0000009540000292,0.9999990463,1,1,None-GI Specialist 3,4,0,1,0,0
P8Test1_02282019,slide5.3,1,2,0.000001070000053,0.9999989271,1,1,GI Specialist 1,1,1,1,0,0
P8Test1_02282019,slide5.3,1,2,0.000001070000053,0.9999989271,1,1,GI Specialist 1,1,0,1,0,0
P6Test2_02262019,slide6.3,0,2,0.000001070000053,0.9999989271,1,1,None-GI Specialist 4,2,1,1,0,0
P6Test2_02262019,slide6.3,0,2,0.000001070000053,0.9999989271,1,1,None-GI Specialist 4,2,0,1,0,0
P11Test2_02202019,slide2.4,0,2,0.000001070000053,0.9999989271,1,1,None-GI Specialist 5,4,1,1,0,0
P11Test2_02202019,slide2.4,0,2,0.000001070000053,0.9999989271,1,1,None-GI Specialist 5,4,0,1,0,0
P7Test2_02252019,slide8.10,0,2,0.000001190000035,0.9999988079,1,1,GI Specialist 2,1,1,1,0,0
P7Test2_02252019,slide8.10,0,2,0.000001190000035,0.9999988079,1,1,GI Specialist 2,1,0,1,0,0
P11Test2_02202019,slide8.9,0,2,0.000001310000016,0.9999986887,1,1,None-GI Specialist 5,4,1,1,0,0
P11Test2_02202019,slide8.9,0,2,0.000001310000016,0.9999986887,1,1,None-GI Specialist 5,4,0,1,0,0
P10Test1_02152019,slide7.7,1,3,0.000001549999979,0.9999984503,1,1,None-GI Specialist 1,2,1,1,0,0
P10Test1_02152019,slide7.7,1,3,0.000001549999979,0.9999984503,1,1,None-GI Specialist 1,2,0,1,0,0
P4Test1_02242019,slide7.2,1,1,0.000001669999961,0.9999983311,1,1,GI Specialist 3,1,1,1,0,0
P4Test1_02242019,slide7.2,1,1,0.000001669999961,0.9999983311,1,1,GI Specialist 3,1,0,1,0,0
P11Test2_02202019,slide6.1,0,2,0.00000215,0.9999978542,1,1,None-GI Specialist 5,4,1,1,0,0
P11Test2_02202019,slide6.1,0,2,0.00000215,0.9999978542,1,1,None-GI Specialist 5,4,0,1,0,0
P3Test1_02212019,slide5.4,1,2,0.000002620000032,0.9999973774,1,1,None-GI Specialist 3,4,1,1,0,0
P3Test1_02212019,slide5.4,1,2,0.000002620000032,0.9999973774,1,1,None-GI Specialist 3,4,0,1,0,0
P10Test1_02152019,slide7.2,1,1,0.000002859999995,0.999997139,1,1,None-GI Specialist 1,2,1,1,0,0
P10Test1_02152019,slide7.2,1,1,0.000002859999995,0.999997139,1,1,None-GI Specialist 1,2,0,1,0,0
P7Test2_02252019,slide4.1,0,2,0.000003099999958,0.9999969006,1,1,GI Specialist 2,1,1,1,0,0
